,Dest BAA,Fuel Type,BAA_Fuel_%
0,AEC,Coal,0.2600980702600981
1,AEC,Gas,0.7295717387295718
2,AEC,Geo,0.0
3,AEC,Hydro,0.0035070730035070734
4,AEC,Nuclear,0.0
5,AEC,Other Fossil,0.006823118006823119
6,AEC,Other Renew,0.0
7,AEC,Solar,0.0
8,AEC,Wind,0.0
9,AECI,Coal,0.6164490634555634
10,AECI,Gas,0.2638521126730715
11,AECI,Geo,3.3639665156474206e-10
12,AECI,Hydro,0.03586729094425983
13,AECI,Nuclear,0.0035411304976921236
14,AECI,Other Fossil,0.0012346448129728746
15,AECI,Other Renew,0.004416048092163743
16,AECI,Solar,0.00023467686247444743
17,AECI,Wind,0.07440503232540674
18,AVA,Coal,0.04391493069770484
19,AVA,Gas,0.15562317204564316
20,AVA,Geo,0.0001378533979628594
21,AVA,Hydro,0.6385671602485863
22,AVA,Nuclear,0.018430800359421122
23,AVA,Other Fossil,0.014619450522702701
24,AVA,Other Renew,0.06913196536514295
25,AVA,Solar,1.8147231346823355e-05
26,AVA,Wind,0.059556520131489245
27,AZPS,Coal,0.5742667310244524
28,AZPS,Gas,0.28296501734169616
29,AZPS,Geo,0.0017042734349428871
30,AZPS,Hydro,0.005267416483392574
31,AZPS,Nuclear,0.00013577953480272363
32,AZPS,Other Fossil,0.003211876995153566
33,AZPS,Other Renew,0.010196771634704878
34,AZPS,Solar,0.09736508886392095
35,AZPS,Wind,0.024887044686935072
36,BANC,Coal,0.02282161072222485
37,BANC,Gas,0.5339067724627065
38,BANC,Geo,0.0001585043272609046
39,BANC,Hydro,0.3574445372695745
40,BANC,Nuclear,0.02119179980341986
41,BANC,Other Fossil,0.005531535191556567
42,BANC,Other Renew,0.011965242986957295
43,BANC,Solar,0.018309920147410553
44,BANC,Wind,0.028670077088889436
45,BCHA,Coal,0.0
46,BCHA,Gas,0.0
47,BCHA,Geo,0.0
48,BCHA,Hydro,0.0
49,BCHA,Nuclear,0.0
50,BCHA,Other Fossil,0.0
51,BCHA,Other Renew,0.0
52,BCHA,Solar,0.0
53,BCHA,Wind,0.0
54,BPAT,Coal,0.06927738849506102
55,BPAT,Gas,0.09220009995905096
56,BPAT,Geo,0.0004811564788942942
57,BPAT,Hydro,0.6673230089462971
58,BPAT,Nuclear,0.06432992682945698
59,BPAT,Other Fossil,0.0046293413345557055
60,BPAT,Other Renew,0.014664717369640045
61,BPAT,Solar,6.334017199104645e-05
62,BPAT,Wind,0.0870310204150529
63,CHPD,Coal,0.0
64,CHPD,Gas,0.0
65,CHPD,Geo,0.0
66,CHPD,Hydro,1.0
67,CHPD,Nuclear,0.0
68,CHPD,Other Fossil,0.0
69,CHPD,Other Renew,0.0
70,CHPD,Solar,0.0
71,CHPD,Wind,0.0
72,CISO,Coal,0.04893125913111361
73,CISO,Gas,0.422604662251417
74,CISO,Geo,0.04296921712230038
75,CISO,Hydro,0.171650916872551
76,CISO,Nuclear,0.11355948007841662
77,CISO,Other Fossil,0.016450692950552875
78,CISO,Other Renew,0.015071250018132804
79,CISO,Solar,0.09796602998181239
80,CISO,Wind,0.07079649159370287
81,CPLE,Coal,0.19205438279507553
82,CPLE,Gas,0.2665867773468023
83,CPLE,Geo,7.23142883922402e-16
84,CPLE,Hydro,0.008322467639843952
85,CPLE,Nuclear,0.46678634396790253
86,CPLE,Other Fossil,0.015460975934971241
87,CPLE,Other Renew,0.030259715072213058
88,CPLE,Solar,0.020528640158058227
89,CPLE,Wind,6.970851327539293e-07
90,CPLW,Coal,0.27584061669610377
91,CPLW,Gas,0.2424071600179061
92,CPLW,Geo,6.208705649149119e-13
93,CPLW,Hydro,0.024565022851806294
94,CPLW,Nuclear,0.4301159308384576
95,CPLW,Other Fossil,0.01214627997096708
96,CPLW,Other Renew,-0.0007689856292908834
97,CPLW,Solar,0.006677220723099831
98,CPLW,Wind,0.009016754530329778
99,DEAA,Coal,0.0
100,DEAA,Gas,0.0
101,DEAA,Geo,0.0
102,DEAA,Hydro,0.0
103,DEAA,Nuclear,0.0
104,DEAA,Other Fossil,0.0
105,DEAA,Other Renew,0.0
106,DEAA,Solar,0.0
107,DEAA,Wind,0.0
108,DOPD,Coal,0.0
109,DOPD,Gas,0.0
110,DOPD,Geo,0.0
111,DOPD,Hydro,1.0
112,DOPD,Nuclear,0.0
113,DOPD,Other Fossil,0.0
114,DOPD,Other Renew,0.0
115,DOPD,Solar,0.0
116,DOPD,Wind,0.0
117,DUK,Coal,0.23486599243380735
118,DUK,Gas,0.22136162816484614
119,DUK,Geo,4.6214094450017726e-14
120,DUK,Hydro,0.02221519280415097
121,DUK,Nuclear,0.510395352012061
122,DUK,Other Fossil,0.005157843290893438
123,DUK,Other Renew,-0.004690008858058409
124,DUK,Solar,0.010649451337792363
125,DUK,Wind,4.4548814461195956e-05
126,EEI,Coal,0.8001956545131533
127,EEI,Gas,0.15079808969402828
128,EEI,Geo,6.441542380301996e-13
129,EEI,Hydro,0.009527600190290364
130,EEI,Nuclear,0.03802988875095834
131,EEI,Other Fossil,0.0003825578886505693
132,EEI,Other Renew,0.000366794085329874
133,EEI,Solar,7.847211097871151e-05
134,EEI,Wind,0.0006209427659658363
135,EPE,Coal,0.2926925625059279
136,EPE,Gas,0.5823539835376876
137,EPE,Geo,0.0005637459092405833
138,EPE,Hydro,0.01489283294656704
139,EPE,Nuclear,0.013389629967090177
140,EPE,Other Fossil,0.0019092968761230456
141,EPE,Other Renew,0.0007707285515965927
142,EPE,Solar,0.05841051709481682
143,EPE,Wind,0.03501670261095053
144,ERCO,Coal,0.25701150800000006
145,ERCO,Gas,0.482621978
146,ERCO,Geo,0.0
147,ERCO,Hydro,0.002739903
148,ERCO,Nuclear,0.10977278900000002
149,ERCO,Other Fossil,0.008228953000000002
150,ERCO,Other Renew,0.00029484700000000005
151,ERCO,Solar,0.0018328800000000005
152,ERCO,Wind,0.13749714200000002
153,FMPP,Coal,0.3176516022551523
154,FMPP,Gas,0.62891882879973
155,FMPP,Geo,3.8911694330201847e-16
156,FMPP,Hydro,0.0002653929454788123
157,FMPP,Nuclear,0.02702237211910464
158,FMPP,Other Fossil,0.015368852774120962
159,FMPP,Other Renew,0.009967676887339124
160,FMPP,Solar,0.0008048991235821482
161,FMPP,Wind,3.7509549234200514e-07
162,FPC,Coal,0.23415760924888587
163,FPC,Gas,0.7043884257505928
164,FPC,Geo,3.104659474640082e-15
165,FPC,Hydro,0.0014723354388516473
166,FPC,Nuclear,0.02222374412943234
167,FPC,Other Fossil,0.017076154286173133
168,FPC,Other Renew,0.020018450674894883
169,FPC,Solar,0.0006602876850800976
170,FPC,Wind,2.992786087164845e-06
171,FPL,Coal,0.047543772340493916
172,FPL,Gas,0.6931749703166462
173,FPL,Geo,3.2459698674920792e-15
174,FPL,Hydro,0.002231661217525181
175,FPL,Nuclear,0.2307478652294979
176,FPL,Other Fossil,0.021017543258019408
177,FPL,Other Renew,0.004042684372714464
178,FPL,Solar,0.0012383742606026178
179,FPL,Wind,3.1290044973169857e-06
180,GCPD,Coal,0.003060919373259109
181,GCPD,Gas,0.03507847534679704
182,GCPD,Geo,2.072708001417489e-05
183,GCPD,Hydro,0.9326415300067119
184,GCPD,Nuclear,0.0027711806848455646
185,GCPD,Other Fossil,0.0065671675041819215
186,GCPD,Other Renew,0.003255022351741899
187,GCPD,Solar,1.255284194432465e-05
188,GCPD,Wind,0.016592424810504297
189,GRID,Coal,0.0
190,GRID,Gas,0.0
191,GRID,Geo,0.0
192,GRID,Hydro,0.0
193,GRID,Nuclear,0.0
194,GRID,Other Fossil,0.0
195,GRID,Other Renew,0.0
196,GRID,Solar,0.0
197,GRID,Wind,0.0
198,GRIF,Coal,0.0
199,GRIF,Gas,1.0
200,GRIF,Geo,0.0
201,GRIF,Hydro,0.0
202,GRIF,Nuclear,0.0
203,GRIF,Other Fossil,0.0
204,GRIF,Other Renew,0.0
205,GRIF,Solar,0.0
206,GRIF,Wind,0.0
207,GRIS,Coal,0.0
208,GRIS,Gas,0.0
209,GRIS,Geo,0.0
210,GRIS,Hydro,0.0
211,GRIS,Nuclear,0.0
212,GRIS,Other Fossil,0.0
213,GRIS,Other Renew,0.0
214,GRIS,Solar,0.0
215,GRIS,Wind,0.0
216,GRMA,Coal,0.0
217,GRMA,Gas,1.0
218,GRMA,Geo,0.0
219,GRMA,Hydro,0.0
220,GRMA,Nuclear,0.0
221,GRMA,Other Fossil,0.0
222,GRMA,Other Renew,0.0
223,GRMA,Solar,0.0
224,GRMA,Wind,0.0
225,GVL,Coal,0.21803647095234593
226,GVL,Gas,0.7087623739379693
227,GVL,Geo,6.632216588617544e-16
228,GVL,Hydro,0.0004559765232349633
229,GVL,Nuclear,0.04714676605256244
230,GVL,Other Fossil,0.00448966375585103
231,GVL,Other Renew,0.018353391122790712
232,GVL,Solar,0.0027547183321341164
233,GVL,Wind,6.393231108148988e-07
234,GWA,Coal,0.0
235,GWA,Gas,0.0
236,GWA,Geo,0.0
237,GWA,Hydro,0.0
238,GWA,Nuclear,0.0
239,GWA,Other Fossil,0.0
240,GWA,Other Renew,0.0
241,GWA,Solar,0.0
242,GWA,Wind,1.0
243,HGMA,Coal,0.0
244,HGMA,Gas,1.0
245,HGMA,Geo,0.0
246,HGMA,Hydro,0.0
247,HGMA,Nuclear,0.0
248,HGMA,Other Fossil,0.0
249,HGMA,Other Renew,0.0
250,HGMA,Solar,0.0
251,HGMA,Wind,0.0
252,HQT,Coal,0.0
253,HQT,Gas,0.0
254,HQT,Geo,0.0
255,HQT,Hydro,0.0
256,HQT,Nuclear,0.0
257,HQT,Other Fossil,0.0
258,HQT,Other Renew,0.0
259,HQT,Solar,0.0
260,HQT,Wind,0.0
261,HST,Coal,0.02473205592120815
262,HST,Gas,0.7940412985970464
263,HST,Geo,1.6885388838402118e-15
264,HST,Hydro,0.0011609000992547419
265,HST,Nuclear,0.12003399868408632
266,HST,Other Fossil,0.05728293612400018
267,HST,Other Renew,0.002102986175806886
268,HST,Solar,0.0006441967045707626
269,HST,Wind,1.6276940258575943e-06
270,IESO,Coal,0.0
271,IESO,Gas,0.0
272,IESO,Geo,0.0
273,IESO,Hydro,0.0
274,IESO,Nuclear,0.0
275,IESO,Other Fossil,0.0
276,IESO,Other Renew,0.0
277,IESO,Solar,0.0
278,IESO,Wind,0.0
279,IID,Coal,0.0
280,IID,Gas,0.19710568432185346
281,IID,Geo,0.6335255781051906
282,IID,Hydro,0.04138063311727709
283,IID,Nuclear,0.0
284,IID,Other Fossil,6.580000177660003e-05
285,IID,Other Renew,0.05750308755258335
286,IID,Solar,0.07041921690131885
287,IID,Wind,0.0
288,IPCO,Coal,0.17282941052688675
289,IPCO,Gas,0.16469604892420195
290,IPCO,Geo,0.012313020871585159
291,IPCO,Hydro,0.48119726712843836
292,IPCO,Nuclear,0.0021922745384356118
293,IPCO,Other Fossil,0.011662999518530132
294,IPCO,Other Renew,0.011005398395764917
295,IPCO,Solar,0.006108174267157885
296,IPCO,Wind,0.1379954058290001
297,ISNE,Coal,0.023296344960196554
298,ISNE,Gas,0.4373557258640936
299,ISNE,Geo,5.634660319943869e-17
300,ISNE,Hydro,0.153667834230244
301,ISNE,Nuclear,0.2747606106783981
302,ISNE,Other Fossil,0.03885714897973744
303,ISNE,Other Renew,0.039445836388066216
304,ISNE,Solar,0.005768067857789308
305,ISNE,Wind,0.026848431041474885
306,JEA,Coal,0.44350268600000003
307,JEA,Gas,0.362753878
308,JEA,Geo,0.0
309,JEA,Hydro,0.0
310,JEA,Nuclear,0.0
311,JEA,Other Fossil,0.147491885
312,JEA,Other Renew,0.04482143000000001
313,JEA,Solar,0.001430121
314,JEA,Wind,0.0
315,LDWP,Coal,0.33123765237505426
316,LDWP,Gas,0.31713362722739635
317,LDWP,Geo,0.002176588166385515
318,LDWP,Hydro,0.21541103179518795
319,LDWP,Nuclear,0.01263682533417567
320,LDWP,Other Fossil,0.025245806028589085
321,LDWP,Other Renew,0.015964297675724565
322,LDWP,Solar,0.03671423647662909
323,LDWP,Wind,0.043479934920857846
324,LGEE,Coal,0.7934460325717931
325,LGEE,Gas,0.17454566866794072
326,LGEE,Geo,2.7599770887896924e-13
327,LGEE,Hydro,0.01364331913848552
328,LGEE,Nuclear,0.016294485923563074
329,LGEE,Other Fossil,0.001329740993636613
330,LGEE,Other Renew,0.00015715852074648032
331,LGEE,Solar,0.0003175417839410123
332,LGEE,Wind,0.00026605239961722665
333,MHEB,Coal,0.0
334,MHEB,Gas,0.0
335,MHEB,Geo,0.0
336,MHEB,Hydro,0.0
337,MHEB,Nuclear,0.0
338,MHEB,Other Fossil,0.0
339,MHEB,Other Renew,0.0
340,MHEB,Solar,0.0
341,MHEB,Wind,0.0
342,MISO,Coal,0.4320596801991255
343,MISO,Gas,0.2705452890347547
344,MISO,Geo,3.5371377538577364e-11
345,MISO,Hydro,0.03346879195577079
346,MISO,Nuclear,0.15475376984630096
347,MISO,Other Fossil,0.026523298137618466
348,MISO,Other Renew,0.012180933005318743
349,MISO,Solar,0.0007572298296333406
350,MISO,Wind,0.06971100795610623
351,NBSO,Coal,0.0
352,NBSO,Gas,0.0
353,NBSO,Geo,0.0
354,NBSO,Hydro,0.0
355,NBSO,Nuclear,0.0
356,NBSO,Other Fossil,0.0
357,NBSO,Other Renew,0.0
358,NBSO,Solar,0.0
359,NBSO,Wind,0.0
360,NEVP,Coal,0.10214814991363068
361,NEVP,Gas,0.7218025748157052
362,NEVP,Geo,0.07324818424486307
363,NEVP,Hydro,0.04391019237281528
364,NEVP,Nuclear,0.004462611912719037
365,NEVP,Other Fossil,0.00429231376925374
366,NEVP,Other Renew,0.0014675915402669903
367,NEVP,Solar,0.0255387318854151
368,NEVP,Wind,0.023129649545331643
369,NEWL,Coal,0.0
370,NEWL,Gas,0.0
371,NEWL,Geo,0.0
372,NEWL,Hydro,0.0
373,NEWL,Nuclear,0.0
374,NEWL,Other Fossil,0.0
375,NEWL,Other Renew,0.0
376,NEWL,Solar,0.0
377,NEWL,Wind,0.0
378,NSB,Coal,0.07215882115529797
379,NSB,Gas,0.37835409895624567
380,NSB,Geo,1.723549121790242e-15
381,NSB,Hydro,0.0010203288410857117
382,NSB,Nuclear,0.07317338050139313
383,NSB,Other Fossil,0.4686019498687711
384,NSB,Other Renew,0.006162535715530175
385,NSB,Solar,0.0005272235189695349
386,NSB,Wind,1.6614427039013698e-06
387,NWMT,Coal,0.6745068913626594
388,NWMT,Gas,0.017761591565471264
389,NWMT,Geo,0.0
390,NWMT,Hydro,0.17332783396407653
391,NWMT,Nuclear,0.0
392,NWMT,Other Fossil,0.038476448533046
393,NWMT,Other Renew,0.0
394,NWMT,Solar,0.0
395,NWMT,Wind,0.09592723457474683
396,NYIS,Coal,0.025437973178452714
397,NYIS,Gas,0.3944544871246921
398,NYIS,Geo,1.999490402044964e-15
399,NYIS,Hydro,0.2322864708940177
400,NYIS,Nuclear,0.2926754565193019
401,NYIS,Other Fossil,0.020810841951543337
402,NYIS,Other Renew,0.00208092960500098
403,NYIS,Solar,0.0019461009734476945
404,NYIS,Wind,0.030307739753540973
405,OVEC,Coal,0.9623384177905511
406,OVEC,Gas,0.030644441040425234
407,OVEC,Geo,4.845606070652093e-14
408,OVEC,Hydro,0.002395315175253139
409,OVEC,Nuclear,0.0028607722951785983
410,OVEC,Other Fossil,0.0016310020464701388
411,OVEC,Other Renew,2.759183347126241e-05
412,OVEC,Solar,5.5749824960503885e-05
413,OVEC,Wind,4.6709993642089435e-05
414,PACE,Coal,0.5914700199102362
415,PACE,Gas,0.18043836350498368
416,PACE,Geo,0.006505394082337497
417,PACE,Hydro,0.08956682809343834
418,PACE,Nuclear,0.003414652874799115
419,PACE,Other Fossil,0.017686669335399842
420,PACE,Other Renew,0.005568726173737938
421,PACE,Solar,0.0143437427121786
422,PACE,Wind,0.09100560331288862
423,PACW,Coal,0.02160946792010889
424,PACW,Gas,0.3308132802377653
425,PACW,Geo,0.0008944717140434534
426,PACW,Hydro,0.46561554864607213
427,PACW,Nuclear,0.013365086096684296
428,PACW,Other Fossil,0.005215051375212394
429,PACW,Other Renew,0.0347181756823263
430,PACW,Solar,0.0019290770642451853
431,PACW,Wind,0.12583984126354175
432,PGE,Coal,0.027678471232852834
433,PGE,Gas,0.370682799334534
434,PGE,Geo,0.0002370140111832422
435,PGE,Hydro,0.5146577245056961
436,PGE,Nuclear,0.025298713213799836
437,PGE,Other Fossil,0.010837594908825758
438,PGE,Other Renew,0.008938450213453696
439,PGE,Solar,0.0009609843405155641
440,PGE,Wind,0.0407082482391385
441,PJM,Coal,0.32368459204586725
442,PJM,Gas,0.2642286166220793
443,PJM,Geo,4.403342877331316e-14
444,PJM,Hydro,0.01164766498540799
445,PJM,Nuclear,0.3460809543873063
446,PJM,Other Fossil,0.024832253282077558
447,PJM,Other Renew,0.0037607581763341217
448,PJM,Solar,0.002700535015546134
449,PJM,Wind,0.023064625485337713
450,PNM,Coal,0.644572513202516
451,PNM,Gas,0.23027318027234367
452,PNM,Geo,0.0009554636895376944
453,PNM,Hydro,0.0011814729116036992
454,PNM,Nuclear,1.3476024312287814e-05
455,PNM,Other Fossil,0.00828435345691883
456,PNM,Other Renew,0.0018326621069655214
457,PNM,Solar,0.026266680804750465
458,PNM,Wind,0.08662019753105188
459,PSCO,Coal,0.41989966358742536
460,PSCO,Gas,0.2825479889161519
461,PSCO,Geo,6.7584957167885986e-06
462,PSCO,Hydro,0.012588886157090608
463,PSCO,Nuclear,9.532298672491107e-08
464,PSCO,Other Fossil,0.0010929709395773228
465,PSCO,Other Renew,-0.002226090254424518
466,PSCO,Solar,0.014642973693658513
467,PSCO,Wind,0.2714467531418171
468,PSEI,Coal,0.025987258541961898
469,PSEI,Gas,0.30766241910608433
470,PSEI,Geo,0.0001804908944721191
471,PSEI,Hydro,0.4109926847703694
472,PSEI,Nuclear,0.024131372108834245
473,PSEI,Other Fossil,0.058009669979361515
474,PSEI,Other Renew,0.026999902268517534
475,PSEI,Solar,0.00011116030711733352
476,PSEI,Wind,0.14592504202328188
477,SC,Coal,0.5644514822792587
478,SC,Gas,0.2917925760311741
479,SC,Geo,1.0240312885349814e-14
480,SC,Hydro,0.023735770798413002
481,SC,Nuclear,0.07338304299754785
482,SC,Other Fossil,0.007312491352516578
483,SC,Other Renew,0.03799247021391946
484,SC,Solar,0.0013222950139998308
485,SC,Wind,9.871313160694595e-06
486,SCEG,Coal,0.31195552769380935
487,SCEG,Gas,0.3483280783393242
488,SCEG,Geo,1.1120813551408839e-14
489,SCEG,Hydro,0.01160539773458281
490,SCEG,Nuclear,0.3000287445835293
491,SCEG,Other Fossil,0.00209425212869651
492,SCEG,Other Renew,0.025551953846963144
493,SCEG,Solar,0.0004253255872430693
494,SCEG,Wind,1.072008584080513e-05
495,SCL,Coal,0.018018644692963784
496,SCL,Gas,0.02676950270277054
497,SCL,Geo,0.00012514599385529535
498,SCL,Hydro,0.9085138183628577
499,SCL,Nuclear,0.0167318387693985
500,SCL,Other Fossil,0.0013432930794230954
501,SCL,Other Renew,0.005589234019330419
502,SCL,Solar,1.6671610922634655e-05
503,SCL,Wind,0.022891850768478134
504,SEC,Coal,0.6963412363095124
505,SEC,Gas,0.3018520516117851
506,SEC,Geo,0.0
507,SEC,Hydro,0.0
508,SEC,Nuclear,0.0
509,SEC,Other Fossil,0.001805964332884691
510,SEC,Other Renew,7.246251442902137e-07
511,SEC,Solar,2.3120673213180942e-08
512,SEC,Wind,0.0
513,SEPA,Coal,0.05484331837007291
514,SEPA,Gas,0.06123779193407881
515,SEPA,Geo,1.9550938002059307e-15
516,SEPA,Hydro,0.8790472537582116
517,SEPA,Nuclear,0.05274653115144759
518,SEPA,Other Fossil,0.0003681798398970472
519,SEPA,Other Renew,-0.07628633200631964
520,SEPA,Solar,0.02804137230871531
521,SEPA,Wind,1.8846438948145415e-06
522,SOCO,Coal,0.2893707289898539
523,SOCO,Gas,0.45567310743639033
524,SOCO,Geo,8.905521763848711e-14
525,SOCO,Hydro,0.029025312160421767
526,SOCO,Nuclear,0.19061785882572704
527,SOCO,Other Fossil,0.002717794555282676
528,SOCO,Other Renew,0.029175536533005152
529,SOCO,Solar,0.0033338152998268343
530,SOCO,Wind,8.584619940285046e-05
531,SPA,Coal,0.21919230232826944
532,SPA,Gas,5.6499998022500074e-05
533,SPA,Geo,0.0
534,SPA,Hydro,0.5816858006409971
535,SPA,Nuclear,0.0
536,SPA,Other Fossil,0.00032979598845714043
537,SPA,Other Renew,0.040871947569481835
538,SPA,Solar,0.0035083128772090493
539,SPA,Wind,0.1543553405975631
540,SRP,Coal,0.27415811533797757
541,SRP,Gas,0.3043428593557145
542,SRP,Geo,0.0009778777064613638
543,SRP,Hydro,0.035053776673724016
544,SRP,Nuclear,0.35787854278149506
545,SRP,Other Fossil,0.0008530130094293526
546,SRP,Other Renew,0.0015250399657900267
547,SRP,Solar,0.020361764723311644
548,SRP,Wind,0.004849010446096432
549,SWPP,Coal,0.46425449357696025
550,SWPP,Gas,0.2365915920929147
551,SWPP,Geo,6.425248292196028e-09
552,SWPP,Hydro,0.04150648859187415
553,SWPP,Nuclear,0.06763635302820685
554,SWPP,Other Fossil,0.004448780732379246
555,SWPP,Other Renew,0.0044759610926759725
556,SWPP,Solar,0.0007916732736504784
557,SWPP,Wind,0.18029465118609
558,TAL,Coal,0.06569680983712486
559,TAL,Gas,0.8759623307904099
560,TAL,Geo,2.0218505578028225e-14
561,TAL,Hydro,0.006589714240009659
562,TAL,Nuclear,0.043276613590287456
563,TAL,Other Fossil,0.0010743341061377895
564,TAL,Other Renew,0.006623820184563776
565,TAL,Solar,0.0007568873000713916
566,TAL,Wind,1.9489951375167305e-05
567,TEC,Coal,0.3365894400840032
568,TEC,Gas,0.5788238030030588
569,TEC,Geo,1.7672297963180997e-16
570,TEC,Hydro,8.380806587541634e-05
571,TEC,Nuclear,0.0012650167637413851
572,TEC,Other Fossil,0.08118292532723023
573,TEC,Other Renew,0.0012471751889511055
574,TEC,Solar,0.000807661212200895
575,TEC,Wind,1.7035493877656606e-07
576,TEPC,Coal,0.6770295611960393
577,TEPC,Gas,0.1583661746125444
578,TEPC,Geo,0.001447005658500876
579,TEPC,Hydro,0.05025516681091916
580,TEPC,Nuclear,0.0457070032093797
581,TEPC,Other Fossil,0.001824220447436039
582,TEPC,Other Renew,0.0017151094218293074
583,TEPC,Solar,0.050483569478149526
584,TEPC,Wind,0.013172189165201688
585,TIDC,Coal,0.015425607563048057
586,TIDC,Gas,0.7032783043269938
587,TIDC,Geo,0.012379107123444881
588,TIDC,Hydro,0.17356734947698624
589,TIDC,Nuclear,0.03393485879988678
590,TIDC,Other Fossil,0.0050337627259284855
591,TIDC,Other Renew,0.005040929652260915
592,TIDC,Solar,0.0292767326589494
593,TIDC,Wind,0.022063347672501798
594,TPWR,Coal,0.02272424810044323
595,TPWR,Gas,0.03108093847674379
596,TPWR,Geo,0.00015782810869536642
597,TPWR,Hydro,0.8256853872870609
598,TPWR,Nuclear,0.02110139035711716
599,TPWR,Other Fossil,0.0017442157117666304
600,TPWR,Other Renew,0.06893745175878935
601,TPWR,Solar,2.077673270192482e-05
602,TPWR,Wind,0.028547763466681475
603,TVA,Coal,0.3145003016004914
604,TVA,Gas,0.2716954749486138
605,TVA,Geo,5.439177915929555e-12
606,TVA,Hydro,0.0804501616030725
607,TVA,Nuclear,0.3211208105562022
608,TVA,Other Fossil,0.0032302828991327094
609,TVA,Other Renew,0.0030971748237202438
610,TVA,Solar,0.0006626111385325857
611,TVA,Wind,0.005243182424795674
612,WACM,Coal,0.8177951079548466
613,WACM,Gas,0.10954804072013899
614,WACM,Geo,5.176556558628137e-05
615,WACM,Hydro,0.0459107284110409
616,WACM,Nuclear,7.301104458690537e-07
617,WACM,Other Fossil,0.002910462187977566
618,WACM,Other Renew,-0.0023271606373818556
619,WACM,Solar,0.0037450873007131903
620,WACM,Wind,0.022365238386632562
621,WALC,Coal,0.26422312985265
622,WALC,Gas,0.2103069963479835
623,WALC,Geo,0.011265386778314528
624,WALC,Hydro,0.47875200176180976
625,WALC,Nuclear,0.000489272998596881
626,WALC,Other Fossil,0.0013238173552393817
627,WALC,Other Renew,0.0019048847576464431
628,WALC,Solar,0.02254936177051179
629,WALC,Wind,0.009185148377247683
630,WAUE,Coal,0.0
631,WAUE,Gas,0.0
632,WAUE,Geo,0.0
633,WAUE,Hydro,0.0
634,WAUE,Nuclear,0.0
635,WAUE,Other Fossil,0.0
636,WAUE,Other Renew,0.0
637,WAUE,Solar,0.0
638,WAUE,Wind,0.0
639,WAUW,Coal,0.29454968630802747
640,WAUW,Gas,0.007756290248379353
641,WAUW,Geo,0.0
642,WAUW,Hydro,0.6030363021476695
643,WAUW,Nuclear,0.0
644,WAUW,Other Fossil,0.016802238777368063
645,WAUW,Other Renew,0.0
646,WAUW,Solar,0.0
647,WAUW,Wind,0.07785548251855548
648,WWA,Coal,0.0
649,WWA,Gas,0.0
650,WWA,Geo,0.0
651,WWA,Hydro,0.0
652,WWA,Nuclear,0.0
653,WWA,Other Fossil,0.0
654,WWA,Other Renew,0.0
655,WWA,Solar,0.0
656,WWA,Wind,1.0
657,YAD,Coal,0.0
658,YAD,Gas,0.0
659,YAD,Geo,0.0
660,YAD,Hydro,1.0
661,YAD,Nuclear,0.0
662,YAD,Other Fossil,0.0
663,YAD,Other Renew,0.0
664,YAD,Solar,0.0
665,YAD,Wind,0.0
