,import ferc region,export ferc region,value,total,fraction
0,CAISO,CAISO,291268071.5902616,396113569.5108615,0.7353145512029093
1,CAISO,Canada,3735955.0374743557,396113569.5108615,0.009431525009576615
2,CAISO,ERCOT,0.0,396113569.5108615,0.0
3,CAISO,ISO-NE,0.0,396113569.5108615,0.0
4,CAISO,MISO,0.0,396113569.5108615,0.0
5,CAISO,NYISO,0.0,396113569.5108615,0.0
6,CAISO,Northwest,55409432.15200426,396113569.5108615,0.13988269127065317
7,CAISO,PJM,0.0,396113569.5108615,0.0
8,CAISO,SPP,0.0,396113569.5108615,0.0
9,CAISO,Southeast,0.0,396113569.5108615,0.0
10,CAISO,Southwest,45700110.73112121,396113569.5108615,0.11537123251686056
11,Canada,CAISO,0.0,0.0,
12,Canada,Canada,0.0,0.0,
13,Canada,ERCOT,0.0,0.0,
14,Canada,ISO-NE,0.0,0.0,
15,Canada,MISO,0.0,0.0,
16,Canada,NYISO,0.0,0.0,
17,Canada,Northwest,0.0,0.0,
18,Canada,PJM,0.0,0.0,
19,Canada,SPP,0.0,0.0,
20,Canada,Southeast,0.0,0.0,
21,Canada,Southwest,0.0,0.0,
22,ERCOT,CAISO,0.0,348200119.0,0.0
23,ERCOT,Canada,0.0,348200119.0,0.0
24,ERCOT,ERCOT,348200119.0,348200119.0,1.0
25,ERCOT,ISO-NE,0.0,348200119.0,0.0
26,ERCOT,MISO,0.0,348200119.0,0.0
27,ERCOT,NYISO,0.0,348200119.0,0.0
28,ERCOT,Northwest,0.0,348200119.0,0.0
29,ERCOT,PJM,0.0,348200119.0,0.0
30,ERCOT,SPP,0.0,348200119.0,0.0
31,ERCOT,Southeast,0.0,348200119.0,0.0
32,ERCOT,Southwest,0.0,348200119.0,0.0
33,ISO-NE,CAISO,0.0,147700227.19282484,0.0
34,ISO-NE,Canada,17915240.441557307,147700227.19282484,0.12129460314349208
35,ISO-NE,ERCOT,0.0,147700227.19282484,0.0
36,ISO-NE,ISO-NE,126011181.5,147700227.19282484,0.8531549605234563
37,ISO-NE,MISO,0.0,147700227.19282484,0.0
38,ISO-NE,NYISO,3586606.4999999995,147700227.19282484,0.024283012749314402
39,ISO-NE,Northwest,0.0,147700227.19282484,0.0
40,ISO-NE,PJM,187198.75126752222,147700227.19282484,0.0012674235837371562
41,ISO-NE,SPP,0.0,147700227.19282484,0.0
42,ISO-NE,Southeast,0.0,147700227.19282484,0.0
43,ISO-NE,Southwest,0.0,147700227.19282484,0.0
44,MISO,CAISO,0.0,771272409.2571105,0.0
45,MISO,Canada,20188707.940273717,771272409.2571105,0.026175846170511247
46,MISO,ERCOT,417.64982737773323,771272409.2571105,5.415075430741954e-07
47,MISO,ISO-NE,0.0,771272409.2571105,0.0
48,MISO,MISO,718661696.5864573,771272409.2571105,0.9317871195193824
49,MISO,NYISO,0.0,771272409.2571105,0.0
50,MISO,Northwest,3323.7175140332247,771272409.2571105,4.309395064753618e-06
51,MISO,PJM,19845933.29702156,771272409.2571105,0.02573141870346064
52,MISO,SPP,8659775.44467237,771272409.2571105,0.011227907728494354
53,MISO,Southeast,3912554.6213442404,771272409.2571105,0.005072856975543586
54,MISO,Southwest,0.0,771272409.2571105,0.0
55,NYISO,CAISO,0.0,187736899.7321358,0.0
56,NYISO,Canada,18590905.13774432,187736899.7321358,0.09902637768211758
57,NYISO,ERCOT,0.0,187736899.7321358,0.0
58,NYISO,ISO-NE,0.0,187736899.7321358,0.0
59,NYISO,MISO,45224.63664281804,187736899.7321358,0.00024089370127739854
60,NYISO,NYISO,160577474.0,187736899.7321358,0.8553325117710634
61,NYISO,Northwest,0.0,187736899.7321358,0.0
62,NYISO,PJM,8381154.334743167,187736899.7321358,0.04464308479953302
63,NYISO,SPP,0.0,187736899.7321358,0.0
64,NYISO,Southeast,142141.62300549654,187736899.7321358,0.0007571320460085636
65,NYISO,Southwest,0.0,187736899.7321358,0.0
66,Northwest,CAISO,702770.281149607,449637784.08129525,0.0015629698082102127
67,Northwest,Canada,9854093.810249424,449637784.08129525,0.02191562666465723
68,Northwest,ERCOT,0.0,449637784.08129525,0.0
69,Northwest,ISO-NE,0.0,449637784.08129525,0.0
70,Northwest,MISO,0.0,449637784.08129525,0.0
71,Northwest,NYISO,0.0,449637784.08129525,0.0
72,Northwest,Northwest,436945945.3158483,449637784.08129525,0.9717731934130512
73,Northwest,PJM,0.0,449637784.08129525,0.0
74,Northwest,SPP,0.0,449637784.08129525,0.0
75,Northwest,Southeast,0.0,449637784.08129525,0.0
76,Northwest,Southwest,2134974.674047962,449637784.08129525,0.004748210114081415
77,PJM,CAISO,0.0,836549436.8058624,0.0
78,PJM,Canada,584858.2062086739,836549436.8058624,0.0006991316716939009
79,PJM,ERCOT,0.0,836549436.8058624,0.0
80,PJM,ISO-NE,0.0,836549436.8058624,0.0
81,PJM,MISO,4903470.644034794,836549436.8058624,0.005861543177600321
82,PJM,NYISO,0.0,836549436.8058624,0.0
83,PJM,Northwest,0.0,836549436.8058624,0.0
84,PJM,PJM,817008484.2237087,836549436.8058624,0.9766410068282808
85,PJM,SPP,0.0,836549436.8058624,0.0
86,PJM,Southeast,14052623.731910175,836549436.8058624,0.01679831832242493
87,PJM,Southwest,0.0,836549436.8058624,0.0
88,SPP,CAISO,0.0,260715579.17623812,0.0
89,SPP,Canada,0.0,260715579.17623812,0.0
90,SPP,ERCOT,94550.74084369506,260715579.17623812,0.00036265857660842276
91,SPP,ISO-NE,0.0,260715579.17623812,0.0
92,SPP,MISO,0.0,260715579.17623812,0.0
93,SPP,NYISO,0.0,260715579.17623812,0.0
94,SPP,Northwest,801490.8734241847,260715579.17623812,0.003074196317521916
95,SPP,PJM,0.0,260715579.17623812,0.0
96,SPP,SPP,259819537.56197023,260715579.17623812,0.9965631451058696
97,SPP,Southeast,0.0,260715579.17623812,0.0
98,SPP,Southwest,0.0,260715579.17623812,0.0
99,Southeast,CAISO,0.0,37868146400.32698,0.0
100,Southeast,Canada,310736.86567502376,37868146400.32698,8.205758538853135e-06
101,Southeast,ERCOT,0.0,37868146400.32698,0.0
102,Southeast,ISO-NE,0.0,37868146400.32698,0.0
103,Southeast,MISO,11804477.004126374,37868146400.32698,0.0003117257675972343
104,Southeast,NYISO,0.0,37868146400.32698,0.0
105,Southeast,Northwest,0.0,37868146400.32698,0.0
106,Southeast,PJM,1502717.5374960997,37868146400.32698,3.968289130421034e-05
107,Southeast,SPP,280515.7224100146,37868146400.32698,7.407696152975484e-06
108,Southeast,Southeast,37854247953.19727,37868146400.32698,0.9996329778864067
109,Southeast,Southwest,0.0,37868146400.32698,0.0
110,Southwest,CAISO,274187.11424239195,149899002.5322243,0.0018291456888343805
111,Southwest,Canada,9770.989343155205,149899002.5322243,6.51838182916174e-05
112,Southwest,ERCOT,0.0,149899002.5322243,0.0
113,Southwest,ISO-NE,0.0,149899002.5322243,0.0
114,Southwest,MISO,0.0,149899002.5322243,0.0
115,Southwest,NYISO,0.0,149899002.5322243,0.0
116,Southwest,Northwest,8893282.300209735,149899002.5322243,0.05932849552016142
117,Southwest,PJM,0.0,149899002.5322243,0.0
118,Southwest,SPP,0.0,149899002.5322243,0.0
119,Southwest,Southeast,0.0,149899002.5322243,0.0
120,Southwest,Southwest,140721762.128429,149899002.5322243,0.9387771749727124
